objet,acheteur_nom,titulaire_nom,montant_rationalise,montant_anomalie,dateNotification
DM implantables. Lot 106,RESEAU DES ACHETEURS HOSPITALIERS,BOSTON SCIENTIFIC,199485.0,,2026-09-08
DM implantables. Lot 30: Système cardiovasculaire ABBOTT MEDICAL (Vascular) ou équivalent,RESEAU DES ACHETEURS HOSPITALIERS,ABBOTT MEDICAL FRANCE SAS,368000.0,,2026-08-28
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTCONC - OSTÉOSYNTHÈSE : FRACTURE PÉRI PROTHÉTIQUE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,2139209.3,,2026-08-26
Prothèse pariétale en polyester non résorbable auto-fixante pour le traitement des hernies ventrales,CENTRE HOSPITALIER UNIVERSITAIRE ROUEN (HOPITAL CHARLES NICOLLE CHU ROUEN),MEDTRONIC FRANCE,99528.0,,2026-08-25
"Prothèse pariétale non résorbable biface en polyéthylène avec film hydrogel de collagène pour le traitement des hernies ventrales, pose en intra péritonéal par colioscopie",CENTRE HOSPITALIER UNIVERSITAIRE ROUEN (HOPITAL CHARLES NICOLLE CHU ROUEN),MEDTRONIC FRANCE,138328.0,,2026-08-25
Prothèse pariétale biologique pour le traitement des hernies ventrales,CENTRE HOSPITALIER UNIVERSITAIRE ROUEN (HOPITAL CHARLES NICOLLE CHU ROUEN),MEDTRONIC FRANCE,305428.0,,2026-08-25
Prothèse pariétale préformée en polypropylène monofilament anatomique en 3D pour le traitement des hernies inguinales par coelioscopie,CENTRE HOSPITALIER UNIVERSITAIRE ROUEN (HOPITAL CHARLES NICOLLE CHU ROUEN),MEDTRONIC FRANCE,58608.0,,2026-08-25
RYT 24 - HOLTER ECG IMPLANTABLE,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE (HOTEL DIEU SAINT JACQUES),BOSTON SCIENTIFIC,858000.0,,2026-08-20
RYT 24 - DEFIBRILLATEUR ENDOCAVITAIRE AVEC SONDE SOUS-STERNALE,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE (HOTEL DIEU SAINT JACQUES),MEDTRONIC FRANCE,320000.0,,2026-08-20
RYT 24 - STIMULATEUR CARDIAQUE SANS SONDE,CENTRE HOSPITALIER UNIVERSITAIRE DE TOULOUSE (HOTEL DIEU SAINT JACQUES),MEDTRONIC FRANCE,3200000.0,,2026-08-20
"Fourniture d¿implants d¿orthopédie, pour prothèses articulaires, pour ostéosynthèse, pour ligamentoplastie, de ciment orthopédique et prêt des ancillaires associés",CTRE HOSPITALIER VILLEFRANCHE S SAONE,ZIMMER BIOMET FRANCE,63466.2,,2026-08-19
XSTIM - Stimulateur cardiaque double chambre asservi,CENTRE HOSPITALIER DE VALENCIENNES,ABBOTT MEDICAL FRANCE SAS,5768123.52,,2026-08-17
XSTIM - Stimulateur cardiaque double chambre asservi,CENTRE HOSPITALIER DE VALENCIENNES,MEDTRONIC FRANCE,882481.92,,2026-08-14
XCARD - IMPLANT POUR OCCLUSION D’UN FORAMEN OVALE PERMEABLE,CENTRE HOSPITALIER DE VALENCIENNES,ABBOTT MEDICAL FRANCE SAS,2124168.0,,2026-08-14
DM ORTHO.Lot 14:Prothèse Epaule ZIMMER BIOMET ou équivalent,RESEAU DES ACHETEURS HOSPITALIERS,ZIMMER BIOMET FRANCE,102333.0,,2026-08-11
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - OSTÉOSYNTHÈSE: PLAQUE ET VIS,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,742653.9,,2026-08-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - IMPLANT FIXATION LIGAMENTAIRE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,71613.63,,2026-08-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - PROTHÈSE GENOU,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,103167.01,,2026-08-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - PROTHÈSE HANCHE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,52872.0,,2026-08-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTHOCAT - PROTHÈSE COUDE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,193892.76,,2026-08-06
FOURNITURE D’IMPLANTS D’ORTHOPÉDIE - ORTCONC - GENOU : PROTHÈSE TOTALE GENOU À PLATEAU FIXE ET ROTATOIRE,CENTRE HOSPITALIER UNIVERSITAIRE REIMS,ZIMMER BIOMET FRANCE,1532250.6,,2026-08-06
"Fourniture de dispositifs médicaux de cardiologie, chirurgie vasculaire et neuroradiologie 
(Relance des lots 67-68-112-113-114-123, suite radiation codes LPPR) 
 - GAA- ENDOPROTHESE CORONAIRE A PRINCIPE ACTIF",CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS (CHRU TROUSSEAU CHAMBRAY),MEDTRONIC FRANCE,1129144.0,,2026-08-04
"Fourniture de dispositifs médicaux de cardiologie, chirurgie vasculaire et neuroradiologie 
(Relance des lots 67-68-112-113-114-123, suite radiation codes LPPR) 
 - GAA- ENDOPROTHESE CORONAIRE A PRINCIPE ACTIF",CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS (CHRU TROUSSEAU CHAMBRAY),BOSTON SCIENTIFIC,546840.0,,2026-08-04
"Fourniture de dispositifs médicaux de cardiologie, chirurgie vasculaire et neuroradiologie 
(Relance des lots 67-68-112-113-114-123, suite radiation codes LPPR) 
 - GAA- ENDOPROTHESE CORONAIRE A PRINCIPE ACTIF",CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS (CHRU TROUSSEAU CHAMBRAY),ABBOTT MEDICAL FRANCE SAS,585329.6,,2026-08-04
XORTO - PROTHESE TOTALE DE GENOU POUR CHIRURGIE ROBOTISEE,CENTRE HOSPITALIER DE VALENCIENNES,ZIMMER BIOMET FRANCE,22341176.0,,2026-08-04
"Fourniture de dispositifs médicaux de cardiologie, chirurgie vasculaire et neuroradiologie 
(Relance des lots 67-68-112-113-114-123, suite radiation codes LPPR) 
 - DAU- CATHETER ANGIOPLASTIE PERIPHERIQUE AVEC PRINCIPE ACTIF",CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS (CHRU TROUSSEAU CHAMBRAY),MEDTRONIC FRANCE,45571.5,,2026-08-04
"Fourniture de dispositifs médicaux de cardiologie, chirurgie vasculaire et neuroradiologie 
(Relance des lots 67-68-112-113-114-123, suite radiation codes LPPR) 
 - FBH- ENDOPROTHESE CAROTIDIENNE",CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE DE TOURS (CHRU TROUSSEAU CHAMBRAY),BOSTON SCIENTIFIC,75000.0,,2026-08-04
Fourniture de dispositifs stériles pour coronarographie et angioplastie coronaire - Cathéter d’aspiration,GROUPE HOSPITALIER RANCE EMERAUDE,MEDTRONIC FRANCE,27000.0,,2026-08-01
Fourniture de dispositifs stériles pour coronarographie et angioplastie coronaire - Endoprothèse coronaire coatée à polymère bioresorbable,GROUPE HOSPITALIER RANCE EMERAUDE,BOSTON SCIENTIFIC,133742.0,,2026-08-01
Fourniture de dispositifs stériles pour coronarographie et angioplastie coronaire - Endoprothèse coronaire coatée à polymère durable avec diametre compris entre 2mm et 5mm,GROUPE HOSPITALIER RANCE EMERAUDE,MEDTRONIC FRANCE,357956.0,,2026-08-01
Fourniture de dispositifs stériles pour coronarographie et angioplastie coronaire - Endoprothèse coronaire coatée à polymère durable,GROUPE HOSPITALIER RANCE EMERAUDE,ABBOTT MEDICAL FRANCE SAS,664778.0,,2026-08-01
Fourniture de dispositifs stériles pour coronarographie et angioplastie coronaire - Cathéter guide,GROUPE HOSPITALIER RANCE EMERAUDE,MEDTRONIC FRANCE,152514.0,,2026-08-01
2026-0219 - FOURNITURE DE DISPOSITIFS MEDICAUX PROTHETIQUES IMPLANTABLES : FAMILLES ORL. UROLOGIE - SOFAMAO2 (2026-2029),CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),BOSTON SCIENTIFIC,525300.0,,2026-07-29
2026-0219 - FOURNITURE DE DISPOSITIFS MEDICAUX PROTHETIQUES IMPLANTABLES : FAMILLES ORL. UROLOGIE - SOFAMAO2 (2026-2029),CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),BOSTON SCIENTIFIC,525300.0,,2026-07-29
XCARD - CATHETER ABLATION  FA,CENTRE HOSPITALIER DE VALENCIENNES,ABBOTT MEDICAL FRANCE SAS,2048280.0,,2026-07-29
"2025-0785 - FOURNITURE DE DISPOSITIFS MEDICAUX PROTHETIQUES IMPLANTABLES : FAMILLES ENDOSCOPIE DIGESTIVE, CHIRURGIE PLASTIQUE ET REPARATRICE, ORL, PNEUMOLOGIE, UROLOGIE, GYNECOLOGIE - FAMDIVAO2 (2025-2029)",CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),MEDTRONIC FRANCE,12600.0,,2026-07-28
"2025-0785 - FOURNITURE DE DISPOSITIFS MEDICAUX PROTHETIQUES IMPLANTABLES : FAMILLES ENDOSCOPIE DIGESTIVE, CHIRURGIE PLASTIQUE ET REPARATRICE, ORL, PNEUMOLOGIE, UROLOGIE, GYNECOLOGIE - FAMDIVAO2 (2025-2029)",CENTRE HOSPITALIER REGIONAL DE MARSEILLE (ASSISTANCE PUBLIQUE-HOPITAUX MARSEILLE),BOSTON SCIENTIFIC,53835.0,,2026-07-28
LGS25 FOURNITURE  DE LIGATURES ¿ AUTOSUTURES ¿ PROTHESES VISCERALES,CTRE HOSPITALIER INTERCOM ALPES DU SUD (SITE HOSPITALIER DE GAP),JOHNSON & JOHNSON MEDICAL SAS,422998.18,,2026-07-28
LGS25 FOURNITURE  DE LIGATURES ¿ AUTOSUTURES ¿ PROTHESES VISCERALES,CTRE HOSPITALIER INTERCOM ALPES DU SUD (SITE HOSPITALIER DE GAP),MEDTRONIC FRANCE,446712.0,,2026-07-28
